run_label,round,framework,backend_key,experiment,experiment_key,n_run,t_run,spike_path,spikes,active_neurons,status,timestamp,spike_schema_version,spike_time_column,spike_time_unit
nature_2026_05,1,NEST GPU,nestgpu,Sugar GRNs (200 Hz),sugar,16,100.0,data/results/nature_2026_05/round_01/nestgpu_t100.0s_n16.parquet,26017632,456,success,2026-05-23 00:33:54,1,time_ms,ms
nature_2026_05,1,NEST GPU,nestgpu,Sugar GRNs (200 Hz),sugar,32,0.1,data/results/nature_2026_05/round_01/nestgpu_t0.1s_n32.parquet,47104,338,success,2026-05-23 00:36:33,1,time_ms,ms
nature_2026_05,1,NEST GPU,nestgpu,Sugar GRNs (200 Hz),sugar,32,1.0,data/results/nature_2026_05/round_01/nestgpu_t1.0s_n32.parquet,551456,412,success,2026-05-23 00:39:47,1,time_ms,ms
nature_2026_05,1,NEST GPU,nestgpu,Sugar GRNs (200 Hz),sugar,32,10.0,data/results/nature_2026_05/round_01/nestgpu_t10.0s_n32.parquet,5521952,433,success,2026-05-23 00:47:37,1,time_ms,ms
nature_2026_05,1,NEST GPU,nestgpu,Sugar GRNs (200 Hz),sugar,32,100.0,data/results/nature_2026_05/round_01/nestgpu_t100.0s_n32.parquet,52035264,456,success,2026-05-23 01:48:08,1,time_ms,ms
nature_2026_05,2,Brian2 (CPU),brian2cpp,Sugar GRNs (200 Hz),sugar,1,0.1,data/results/nature_2026_05/round_02/brian2cpp_t0.1s_n1.parquet,1574,325,success,2026-05-23 01:48:12,1,time_ms,ms
nature_2026_05,2,Brian2 (CPU),brian2cpp,Sugar GRNs (200 Hz),sugar,1,1.0,data/results/nature_2026_05/round_02/brian2cpp_t1.0s_n1.parquet,17011,397,success,2026-05-23 01:48:19,1,time_ms,ms
nature_2026_05,2,Brian2 (CPU),brian2cpp,Sugar GRNs (200 Hz),sugar,1,10.0,data/results/nature_2026_05/round_02/brian2cpp_t10.0s_n1.parquet,170998,437,success,2026-05-23 01:48:43,1,time_ms,ms
nature_2026_05,2,Brian2 (CPU),brian2cpp,Sugar GRNs (200 Hz),sugar,1,100.0,data/results/nature_2026_05/round_02/brian2cpp_t100.0s_n1.parquet,1706927,459,success,2026-05-23 01:53:22,1,time_ms,ms
nature_2026_05,2,Brian2 (CPU),brian2cpp,Sugar GRNs (200 Hz),sugar,4,0.1,data/results/nature_2026_05/round_02/brian2cpp_t0.1s_n4.parquet,6252,374,success,2026-05-23 01:53:24,1,time_ms,ms
nature_2026_05,2,Brian2 (CPU),brian2cpp,Sugar GRNs (200 Hz),sugar,4,1.0,data/results/nature_2026_05/round_02/brian2cpp_t1.0s_n4.parquet,67036,421,success,2026-05-23 01:53:32,1,time_ms,ms
nature_2026_05,2,Brian2 (CPU),brian2cpp,Sugar GRNs (200 Hz),sugar,4,10.0,data/results/nature_2026_05/round_02/brian2cpp_t10.0s_n4.parquet,681585,447,success,2026-05-23 01:54:18,1,time_ms,ms
nature_2026_05,2,Brian2 (CPU),brian2cpp,Sugar GRNs (200 Hz),sugar,4,100.0,data/results/nature_2026_05/round_02/brian2cpp_t100.0s_n4.parquet,6836569,473,success,2026-05-23 02:02:18,1,time_ms,ms
nature_2026_05,2,Brian2 (CPU),brian2cpp,Sugar GRNs (200 Hz),sugar,8,0.1,data/results/nature_2026_05/round_02/brian2cpp_t0.1s_n8.parquet,12635,389,success,2026-05-23 02:02:23,1,time_ms,ms
nature_2026_05,2,Brian2 (CPU),brian2cpp,Sugar GRNs (200 Hz),sugar,8,1.0,data/results/nature_2026_05/round_02/brian2cpp_t1.0s_n8.parquet,134305,434,success,2026-05-23 02:02:35,1,time_ms,ms
nature_2026_05,2,Brian2 (CPU),brian2cpp,Sugar GRNs (200 Hz),sugar,8,10.0,data/results/nature_2026_05/round_02/brian2cpp_t10.0s_n8.parquet,1365363,450,success,2026-05-23 02:03:50,1,time_ms,ms
nature_2026_05,2,Brian2 (CPU),brian2cpp,Sugar GRNs (200 Hz),sugar,8,100.0,data/results/nature_2026_05/round_02/brian2cpp_t100.0s_n8.parquet,13654654,473,success,2026-05-23 02:15:55,1,time_ms,ms
nature_2026_05,2,Brian2 (CPU),brian2cpp,Sugar GRNs (200 Hz),sugar,16,0.1,data/results/nature_2026_05/round_02/brian2cpp_t0.1s_n16.parquet,24918,406,success,2026-05-23 02:16:04,1,time_ms,ms
nature_2026_05,2,Brian2 (CPU),brian2cpp,Sugar GRNs (200 Hz),sugar,16,1.0,data/results/nature_2026_05/round_02/brian2cpp_t1.0s_n16.parquet,269016,437,success,2026-05-23 02:16:27,1,time_ms,ms
nature_2026_05,2,Brian2 (CPU),brian2cpp,Sugar GRNs (200 Hz),sugar,16,10.0,data/results/nature_2026_05/round_02/brian2cpp_t10.0s_n16.parquet,2730045,467,success,2026-05-23 02:19:49,1,time_ms,ms
nature_2026_05,2,Brian2 (CPU),brian2cpp,Sugar GRNs (200 Hz),sugar,16,100.0,data/results/nature_2026_05/round_02/brian2cpp_t100.0s_n16.parquet,27301735,492,success,2026-05-23 02:50:46,1,time_ms,ms
nature_2026_05,2,Brian2 (CPU),brian2cpp,Sugar GRNs (200 Hz),sugar,32,0.1,data/results/nature_2026_05/round_02/brian2cpp_t0.1s_n32.parquet,49406,394,success,2026-05-23 02:51:07,1,time_ms,ms
nature_2026_05,2,Brian2 (CPU),brian2cpp,Sugar GRNs (200 Hz),sugar,32,1.0,data/results/nature_2026_05/round_02/brian2cpp_t1.0s_n32.parquet,541337,448,success,2026-05-23 02:52:16,1,time_ms,ms
nature_2026_05,2,Brian2 (CPU),brian2cpp,Sugar GRNs (200 Hz),sugar,32,10.0,data/results/nature_2026_05/round_02/brian2cpp_t10.0s_n32.parquet,5460685,470,success,2026-05-23 02:59:16,1,time_ms,ms
nature_2026_05,2,Brian2 (CPU),brian2cpp,Sugar GRNs (200 Hz),sugar,32,100.0,data/results/nature_2026_05/round_02/brian2cpp_t100.0s_n32.parquet,54592169,499,success,2026-05-23 04:04:41,1,time_ms,ms
nature_2026_05,2,Brian2CUDA (GPU),brian2cuda,Sugar GRNs (200 Hz),sugar,1,0.1,data/results/nature_2026_05/round_02/brian2cuda_t0.1s_n1.parquet,1425,322,success,2026-05-23 04:05:10,1,time_ms,ms
nature_2026_05,2,Brian2CUDA (GPU),brian2cuda,Sugar GRNs (200 Hz),sugar,1,1.0,data/results/nature_2026_05/round_02/brian2cuda_t1.0s_n1.parquet,16958,391,success,2026-05-23 04:05:38,1,time_ms,ms
nature_2026_05,2,Brian2CUDA (GPU),brian2cuda,Sugar GRNs (200 Hz),sugar,1,10.0,data/results/nature_2026_05/round_02/brian2cuda_t10.0s_n1.parquet,171063,431,success,2026-05-23 04:06:36,1,time_ms,ms
