run_label,round,reference_framework,comparison_framework,reference_backend,comparison_backend,n_run,t_run,tolerance_ms,spikes_reference,spikes_comparison,spike_count_ratio_comparison_over_reference,active_reference,active_comparison,active_shared,active_union,active_jaccard,active_precision_comparison_over_reference,active_recall_comparison_over_reference,rate_pearson_shared,rate_rmse_hz_shared,rate_mae_hz_shared,timing_matches,timing_f1,timing_precision_comparison_over_reference,timing_recall_comparison_over_reference,timing_mean_abs_dt_ms,timing_median_abs_dt_ms,reference_spike_path,comparison_spike_path
nature_2026_05,2,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,1,10.0,1.0,170998,170299,0.995912,437,432,428,441,0.970522,0.990741,0.979405,0.99948539,1.5192,0.838084,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2cpp_t10.0s_n1.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2genn_t10.0s_n1.parquet
nature_2026_05,2,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,1,100.0,1.0,1706927,1706698,0.999866,459,450,446,463,0.963283,0.991111,0.971678,0.99995879,0.437652,0.248408,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2cpp_t100.0s_n1.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2genn_t100.0s_n1.parquet
nature_2026_05,2,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,4,0.1,1.0,6252,6250,0.99968,374,366,351,389,0.902314,0.959016,0.938503,0.98021382,9.664051,4.337607,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2cpp_t0.1s_n4.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2genn_t0.1s_n4.parquet
nature_2026_05,2,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,4,1.0,1.0,67036,67933,1.013381,421,431,418,434,0.963134,0.969838,0.992874,0.99878205,2.385412,1.511962,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2cpp_t1.0s_n4.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2genn_t1.0s_n4.parquet
nature_2026_05,2,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,4,10.0,1.0,681585,683710,1.003118,447,443,438,452,0.969027,0.988713,0.979866,0.99980146,0.941477,0.509874,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2cpp_t10.0s_n4.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2genn_t10.0s_n4.parquet
nature_2026_05,2,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,4,100.0,1.0,6836569,6830574,0.999123,473,471,466,478,0.974895,0.989384,0.985201,0.99998175,0.281278,0.151942,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2cpp_t100.0s_n4.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2genn_t100.0s_n4.parquet
nature_2026_05,2,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,8,0.1,1.0,12635,12291,0.972774,389,373,365,397,0.919395,0.978552,0.938303,0.9919994,6.200144,3.212329,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2cpp_t0.1s_n8.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2genn_t0.1s_n8.parquet
nature_2026_05,2,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,8,1.0,1.0,134305,134863,1.004155,434,434,430,438,0.981735,0.990783,0.990783,0.99910456,1.978941,1.009884,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2cpp_t1.0s_n8.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2genn_t1.0s_n8.parquet
nature_2026_05,2,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,8,10.0,1.0,1365363,1366566,1.000881,450,455,446,459,0.971678,0.98022,0.991111,0.9998924,0.684509,0.335594,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2cpp_t10.0s_n8.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2genn_t10.0s_n8.parquet
nature_2026_05,2,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,8,100.0,1.0,13654654,13658511,1.000282,473,480,463,490,0.944898,0.964583,0.978858,0.99999189,0.186453,0.100613,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2cpp_t100.0s_n8.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2genn_t100.0s_n8.parquet
nature_2026_05,2,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,16,0.1,1.0,24918,24394,0.978971,406,392,386,412,0.936893,0.984694,0.950739,0.99614861,4.205521,1.964054,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2cpp_t0.1s_n16.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2genn_t0.1s_n16.parquet
nature_2026_05,2,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,16,1.0,1.0,269016,270594,1.005866,437,446,433,450,0.962222,0.970852,0.990847,0.99959269,1.350206,0.713337,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2cpp_t1.0s_n16.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2genn_t1.0s_n16.parquet
nature_2026_05,2,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,16,10.0,1.0,2730045,2736428,1.002338,467,461,452,476,0.94958,0.980477,0.96788,0.99995891,0.433752,0.264408,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2cpp_t10.0s_n16.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2genn_t10.0s_n16.parquet
nature_2026_05,2,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,16,100.0,1.0,27301735,27308719,1.000256,492,491,486,497,0.977867,0.989817,0.987805,0.99999773,0.098198,0.056097,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2cpp_t100.0s_n16.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2genn_t100.0s_n16.parquet
nature_2026_05,2,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,32,0.1,1.0,49406,49371,0.999292,394,406,384,416,0.923077,0.945813,0.974619,0.99817335,2.805665,1.369629,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2cpp_t0.1s_n32.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2genn_t0.1s_n32.parquet
nature_2026_05,2,Brian2 (CPU),Brian2GeNN (GPU),brian2cpp,brian2genn,32,1.0,1.0,541337,540601,0.99864,448,451,442,457,0.967177,0.980044,0.986607,0.99980059,0.928993,0.466275,,,,,,,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2cpp_t1.0s_n32.parquet,/home/buidl/GitHub-Linux/fly-brain/data/results/nature_2026_05/round_02/brian2genn_t1.0s_n32.parquet
