run_label,round,n_run,t_run,flywire_id,reference_backend,comparison_backend,reference_framework,comparison_framework,reference_rate_hz,comparison_rate_hz
nature_2026_05,1,1,0.1,720575940616885538,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),200.0,250.0
nature_2026_05,1,1,0.1,720575940617000768,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),130.0,220.0
nature_2026_05,1,1,0.1,720575940617373268,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940617488477,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940617494877,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940617552057,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),40.0,40.0
nature_2026_05,1,1,0.1,720575940617593233,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),70.0,60.0
nature_2026_05,1,1,0.1,720575940617629841,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),60.0,50.0
nature_2026_05,1,1,0.1,720575940617937543,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),190.0,190.0
nature_2026_05,1,1,0.1,720575940618165019,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),100.0,120.0
nature_2026_05,1,1,0.1,720575940618238523,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),60.0,50.0
nature_2026_05,1,1,0.1,720575940618472261,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),50.0,50.0
nature_2026_05,1,1,0.1,720575940618574749,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),50.0,30.0
nature_2026_05,1,1,0.1,720575940618696989,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),40.0,40.0
nature_2026_05,1,1,0.1,720575940618726171,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,20.0
nature_2026_05,1,1,0.1,720575940618800064,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),0.0,10.0
nature_2026_05,1,1,0.1,720575940618859480,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940619114048,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,20.0
nature_2026_05,1,1,0.1,720575940619173534,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,10.0
nature_2026_05,1,1,0.1,720575940619176094,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940619473624,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,40.0
nature_2026_05,1,1,0.1,720575940619588568,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),50.0,40.0
