run_label,round,reference_backend,reference_framework,comparison_backend,comparison_framework,t_run,n_run,flywire_id,reference_rate_hz,comparison_rate_hz
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940619588568,50.0,40.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940619671616,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940619877396,90.0,70.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940619973712,120.0,120.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620025620,30.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620031366,50.0,60.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620170887,30.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620271636,0.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620274085,100.0,80.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620335269,50.0,60.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620346673,10.0,0.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620374693,30.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620473547,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620474278,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620481240,40.0,50.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620673985,40.0,40.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620780272,30.0,40.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620805046,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620873793,0.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940620874757,120.0,120.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940621057702,10.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940621148948,0.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940621261296,40.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940621345012,0.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940621399899,50.0,40.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940621422518,20.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940621468404,0.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940621502051,220.0,160.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940621538142,40.0,40.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940621573030,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940621586854,80.0,90.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940621667693,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940621754367,240.0,160.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940621771041,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940621777390,20.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940622116705,80.0,80.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940622235425,60.0,60.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940622348156,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940622624214,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940622695448,150.0,160.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940622810153,30.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940623072013,0.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940623137818,0.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940623192781,20.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940623209165,30.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940623210445,80.0,80.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940623211725,70.0,60.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940623352063,90.0,80.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940623453959,20.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940623478115,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940623847181,10.0,0.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940624023188,30.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940624310857,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940624484796,50.0,40.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940624623287,20.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940624897516,20.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940624906483,30.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940624963786,310.0,160.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940624966840,40.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940625045180,80.0,80.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940625047484,40.0,50.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940625102692,60.0,70.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940625164558,10.0,0.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940625175054,70.0,70.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940625178768,30.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940625580988,50.0,40.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940625705930,70.0,70.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940625737776,30.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940625861660,40.0,50.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940625867056,70.0,60.0
