framework,backend_key,n_run,t_run,normal_rounds,normal_sim_median_s,normal_sim_min_s,normal_sim_max_s,noio_sim_s,sim_reduction_pct,normal_total_median_s,normal_total_min_s,normal_total_max_s,noio_total_s,total_reduction_pct,noio_sim_below_all_normal_rounds,noio_total_below_all_normal_rounds
GeNN (GPU),genn,1,100,5,49.965000,47.574000,56.023000,52.200000,-4.473,70.841000,66.532000,81.175000,66.094000,6.701,false,true
GeNN (GPU),genn,4,0.1,5,0.072000,0.064000,0.111000,0.071000,1.389,13.998000,12.719000,18.873000,14.010000,-0.086,false,false
GeNN (GPU),genn,4,1,5,0.725000,0.635000,0.749000,0.729000,-0.552,15.450000,13.709000,15.893000,15.296000,0.997,false,false
GeNN (GPU),genn,4,10,5,7.845000,6.781000,8.005000,7.144000,8.936,29.391000,25.414000,31.176000,21.670000,26.270,false,true
GeNN (GPU),genn,4,100,5,75.899000,68.784000,80.639000,67.628000,10.897,115.620000,104.736000,123.993000,81.925000,29.143,true,true
GeNN (GPU),genn,8,0.1,5,0.111000,0.103000,0.121000,0.117000,-5.405,14.311000,12.437000,15.381000,14.144000,1.167,false,false
GeNN (GPU),genn,8,1,5,1.155000,1.075000,1.282000,1.028000,10.996,16.728000,14.826000,18.669000,15.062000,9.959,true,false
GeNN (GPU),genn,8,10,5,11.703000,10.990000,12.624000,11.579000,1.060,41.414000,36.212000,45.273000,26.902000,35.041,false,true
GeNN (GPU),genn,8,100,5,119.301000,110.084000,127.809000,102.738000,13.883,185.764000,168.712000,197.767000,116.972000,37.032,true,true
GeNN (GPU),genn,16,0.1,5,0.919000,0.832000,1.288000,0.826000,10.120,16.323000,12.483000,16.964000,14.671000,10.121,true,false
GeNN (GPU),genn,16,1,5,9.077000,8.009000,10.212000,8.238000,9.243,26.508000,23.225000,31.505000,22.804000,13.973,false,true
GeNN (GPU),genn,16,10,5,86.753000,81.829000,97.108000,82.817000,4.537,120.384000,109.982000,130.776000,97.303000,19.173,false,true
GeNN (GPU),genn,16,100,5,911.646000,815.326000,1492.081000,825.692000,9.428,1027.473000,911.916000,1604.988000,839.964000,18.250,false,true
GeNN (GPU),genn,32,0.1,5,2.272000,1.731000,4.992000,1.582000,30.370,17.489000,14.899000,20.198000,16.012000,8.445,true,false
GeNN (GPU),genn,32,1,5,23.909000,17.217000,49.462000,15.705000,34.313,41.290000,37.983000,69.121000,31.728000,23.158,true,true
GeNN (GPU),genn,32,10,5,226.970000,172.393000,319.680000,156.973000,30.840,262.815000,216.042000,361.587000,171.476000,34.754,true,true
GeNN (GPU),genn,32,100,5,2309.059000,1700.420000,6552.755000,1575.098000,31.786,2482.515000,1895.166000,6730.819000,1590.982000,35.912,true,true
Brian2GeNN (GPU),brian2genn,1,0.1,5,0.194000,0.185000,0.222000,0.081000,58.247,32.485000,28.803000,32.968000,31.795000,2.124,true,false
Brian2GeNN (GPU),brian2genn,1,1,5,1.935000,1.874000,2.024000,1.194000,38.295,33.105000,29.438000,36.687000,31.876000,3.712,true,false
Brian2GeNN (GPU),brian2genn,1,10,5,19.248000,18.724000,19.673000,12.323000,35.978,50.712000,46.199000,52.357000,43.630000,13.965,true,true
Brian2GeNN (GPU),brian2genn,1,100,5,191.455000,188.610000,193.275000,123.436000,35.527,235.531000,220.190000,242.200000,157.875000,32.971,true,true
Brian2GeNN (GPU),brian2genn,4,0.1,5,0.772000,0.760000,0.848000,0.326000,57.772,124.620000,112.428000,129.077000,121.527000,2.482,true,false
Brian2GeNN (GPU),brian2genn,4,1,5,7.760000,7.705000,8.131000,4.795000,38.209,131.545000,120.907000,137.268000,310.311000,-135.897,true,false
Brian2GeNN (GPU),brian2genn,4,10,5,76.322000,75.780000,77.093000,49.494000,35.151,202.322000,188.588000,211.253000,222.120000,-9.785,true,false
Brian2GeNN (GPU),brian2genn,4,100,5,764.370000,757.699000,777.783000,496.267000,35.075,947.543000,894.911000,974.117000,653.751000,31.006,true,true
Brian2GeNN (GPU),brian2genn,8,0.1,5,1.635000,1.523000,1.677000,0.653000,60.061,249.900000,229.214000,259.496000,244.077000,2.330,true,false
Brian2GeNN (GPU),brian2genn,8,1,5,16.246000,15.526000,16.617000,9.595000,40.939,261.648000,244.324000,274.817000,252.121000,3.641,true,false
Brian2GeNN (GPU),brian2genn,8,10,5,152.620000,152.078000,171.142000,98.866000,35.221,409.553000,387.389000,499.893000,342.754000,16.310,true,true
Brian2GeNN (GPU),brian2genn,8,100,5,1532.964000,1518.575000,1610.740000,991.292000,35.335,1906.653000,1792.152000,1992.769000,1279.737000,32.880,true,true
Brian2GeNN (GPU),brian2genn,16,0.1,5,3.255000,3.064000,3.418000,1.308000,59.816,490.182000,464.703000,498.433000,776.032000,-58.315,true,false
Brian2GeNN (GPU),brian2genn,16,1,5,32.238000,30.504000,33.681000,19.221000,40.378,512.649000,497.037000,547.447000,1070.051000,-108.730,true,false
Brian2GeNN (GPU),brian2genn,16,10,5,305.809000,304.102000,309.542000,198.511000,35.087,818.512000,781.064000,846.730000,936.734000,-14.444,true,false
Brian2GeNN (GPU),brian2genn,16,100,5,3064.389000,3049.875000,3105.737000,1996.280000,34.856,3749.769000,3647.401000,3895.586000,2658.442000,29.104,true,true
Brian2GeNN (GPU),brian2genn,32,0.1,5,6.461000,6.239000,6.855000,2.624000,59.387,996.206000,937.115000,1034.982000,1381.394000,-38.665,true,false
Brian2GeNN (GPU),brian2genn,32,1,5,63.959000,62.702000,67.125000,38.381000,39.991,1048.889000,1009.134000,1098.505000,1247.261000,-18.913,true,false
Brian2GeNN (GPU),brian2genn,32,10,5,616.025000,609.785000,624.685000,395.892000,35.734,1630.315000,1564.688000,1733.239000,1598.205000,1.970,true,false
Brian2GeNN (GPU),brian2genn,32,100,5,6158.431000,6139.110000,6320.418000,3908.939000,36.527,7464.839000,7231.207000,8047.455000,5136.329000,31.193,true,true
